-152.093 0
-51.706 0
-42.924 2.163
-35.553 4.558
-29.28 6.594
-23.971 8.324
-19.437 9.795
-15.589 11.045
-12.318 12.108
-9.538 13.011
-7.175 13.779
-5.166 14.432
-3.459 14.986
-2.007 15.458
-0.774 15.859
0.274 16.201
0.509 16.298
0.751 16.377
0.992 16.455
1.239 16.509
2.143 16.395
3.064 16.273
4.005 16.161
4.964 16.04
5.943 15.915
6.941 15.794
7.959 15.664
8.997 15.529
10.056 15.397
11.136 15.263
12.238 15.123
13.361 14.98
14.508 14.833
15.676 14.683
16.869 14.531
18.085 14.377
19.326 14.218
20.591 14.054
21.881 13.889
23.187 13.719
24.531 13.54
25.898 13.357
27.309 13.18
28.72 12.998
30.177 12.805
31.655 12.613
33.179 12.419
34.724 12.22
36.293 12.012
37.906 11.799
39.541 11.589
41.199 11.379
42.901 11.16
44.649 10.932
46.419 10.699
48.211 10.463
50.07 10.225
51.952 9.984
53.856 9.736
55.805 9.48
57.799 9.215
59.838 8.945
61.921 8.665
64.027 8.376
66.178 8.079
68.396 7.77
70.636 7.45
72.921 7.117
75.251 6.771
77.626 6.411
80.045 6.037
82.51 5.647
85.041 5.24
87.595 4.818
90.216 4.378
92.882 3.923
95.615 3.45
98.393 2.961
101.216 2.456
104.106 1.934
107.041 1.398
110.043 0.848
113.089 0.283
116.226 -0.294
119.407 -0.881
122.633 -1.479
125.949 -2.085
129.331 -2.699
132.781 -3.328
136.299 -3.975
139.883 -4.632
143.535 -5.296
147.254 -5.97
151.062 -6.654
154.938 -7.351
158.903 -8.064
162.936 -8.794
167.058 -9.547
171.269 -10.323
175.548 -11.128
179.894 -11.965
184.353 -12.837
188.878 -13.749
193.493 -14.705
198.198 -15.708
202.992 -16.758
207.876 -17.859
212.827 -19.004
217.912 -20.188
223.065 -21.396
240.606 -24.016
258.752 -26.682
277.123 -29.392
295.717 -32.17
314.983 -35.016
334.474 -37.906
354.188 -40.84
374.575 -43.842
395.185 -46.911
416.244 -50.048
437.751 -52.938
459.929 -55.111
1111.627 -119.228
